(* 
Author: Pieter van Baal, Oktober 2004

- Prevalences rates for diseases not modelled in CZM
- The first row contains the disease name.
- The second row contains the disability weights for a disease for males by 5-year age class, rest class 85+. 
- The third row contains the disability weights for a disease for females by 5-year age class, rest class 85+.
- More details about costs and economic evaluations with the CZM can be found in Technical Report??
*)

Div: 1

Infectieziekten_maagdarmkanaal																	
0.084960	0.026622	0.014251	0.008628	0.011098	0.011597	0.010836	0.011211	0.007838	0.009507	0.010340	0.010189	0.012626	0.015752	0.019247	0.018317	0.019252	0.031886
0.080309	0.027241	0.011209	0.013233	0.019863	0.019402	0.018252	0.016402	0.011847	0.010957	0.011572	0.012665	0.018379	0.019276	0.019501	0.020559	0.034414	0.035171

Tuberculose																	
0.000013	0.000010	0.000010	0.000054	0.000054	0.000051	0.000051	0.000034	0.000034	0.000027	0.000027	0.000030	0.000030	0.000031	0.000357	0.000376	0.000376	0.000404
0.000011	0.000009	0.000009	0.000038	0.000038	0.000040	0.000040	0.000025	0.000025	0.000014	0.000014	0.000017	0.000017	0.000025	0.000220	0.000222	0.000222	0.000224

Hersenvliesontsteking																	
0.000406	0.000086	0.000053	0.000086	0.000017	0.000021	0.000020	0.000033	0.000026	0.000017	0.000016	0.000034	0.000051	0.000045	0.000055	0.000048	0.000025	0.000021
0.000313	0.000048	0.000043	0.000096	0.000035	0.000011	0.000015	0.000013	0.000012	0.000032	0.000035	0.000044	0.000047	0.000045	0.000100	0.000097	0.000040	0.000037

HIV/AIDS																	
0.000000	0.000000	0.000000	0.000036	0.000071	0.000134	0.000385	0.000435	0.000528	0.000254	0.000189	0.000196	0.000095	0.000010	0.000010	0.000010	0.000010	0.000010
0.000018	0.000000	0.000000	0.000000	0.000018	0.000091	0.000053	0.000093	0.000043	0.000061	0.000030	0.000020	0.000023	0.000000	0.000000	0.000000	0.000000	0.000000

SOA																	
0.000000	0.000000	0.000000	0.000243	0.001395	0.001212	0.000915	0.000801	0.000465	0.000188	0.000183	0.000102	0.000085	0.000003	0.000000	0.000000	0.000000	0.000000
0.000000	0.000000	0.000011	0.007596	0.009090	0.008281	0.007574	0.005345	0.003435	0.001263	0.000240	0.000032	0.000030	0.000000	0.000000	0.000000	0.000000	0.000000

Huidkanker																	
0.000000	0.000000	0.000000	0.000034	0.000064	0.000423	0.000466	0.000782	0.001220	0.001939	0.002456	0.003001	0.005217	0.007037	0.010177	0.015773	0.024628	0.035627
0.000000	0.000000	0.000035	0.000071	0.000387	0.000957	0.001467	0.001534	0.001950	0.002199	0.004052	0.003936	0.004156	0.004676	0.005140	0.007646	0.008583	0.012475

Non-hodgkin																	
0.000000	0.000095	0.000201	0.000169	0.000193	0.000249	0.000303	0.000284	0.000648	0.000584	0.000965	0.001537	0.001442	0.002379	0.003067	0.002836	0.003994	0.002867
0.000000	0.000000	0.000070	0.000071	0.000106	0.000164	0.000101	0.000176	0.000362	0.000371	0.000873	0.001490	0.001413	0.001317	0.002023	0.002279	0.003631	0.003119

Schizofrenie																	
0.000000	0.000000	0.000055	0.000810	0.003535	0.003686	0.002951	0.002768	0.004388	0.004849	0.002557	0.003267	0.004598	0.004524	0.000683	0.000575	0.000305	0.000000
0.000014	0.000000	0.000000	0.000187	0.000934	0.001392	0.002419	0.002686	0.002784	0.004523	0.001797	0.001539	0.002844	0.000853	0.000758	0.001608	0.000506	0.000353

Depressie+dysthymie_(ontdubbeld)																	
0.000000	0.000000	0.003613	0.008619	0.018717	0.025052	0.008639	0.024444	0.028436	0.034884	0.039039	0.011407	0.027668	0.006000	0.011000	0.019000	0.022000	0.022000
0.000000	0.000000	0.010521	0.021983	0.035040	0.035242	0.041575	0.041096	0.067669	0.052764	0.037383	0.040441	0.041985	0.027000	0.031000	0.032000	0.032000	0.032000

Depressie_i.e.z.																	
0.000000	0.000000	0.003613	0.005419	0.018568	0.025000	0.008658	0.013245	0.023697	0.032558	0.027108	0.011450	0.019763	0.006000	0.011000	0.019000	0.022000	0.022000
0.000000	0.000000	0.010521	0.022080	0.029891	0.030769	0.030769	0.031891	0.058081	0.037783	0.028037	0.029520	0.026718	0.027000	0.031000	0.032000	0.032000	0.032000

Depressie_HAR																	
0.000000	0.000165	0.000171	0.003022	0.003208	0.004731	0.004408	0.007486	0.009910	0.008071	0.009305	0.008772	0.004594	0.005535	0.007754	0.003749	0.006320	0.003796
